Category (energy-transition lens),STAKEHOLDER,ROLE OF WALKING PARTICIPANT (use this label),Professional definition,How to code - helper;;
"Governance & Regulation,MC/WG member,MC/WG member,""Member of a coordinating or steering body (e.g., COST), brokering knowledge–practice exchange and standards."",use “MC/WG member” (as is)";;
"Governance & Regulation,Port authority,Port authority,""Statutory landlord and coordinator of port areas";" oversees strategy, concessions, safety, environment, and port–city interface."",Includes directorates"; works with city/region
"Nautical Control & Border,Harbour master & VTS,Harbour master & VTS,""Maritime safety, traffic management, nautical services, and regulatory enforcement within port waters."",""Pilots liaison, VTS centres""";;
"Port Operations & Terminals,Port professional,Port professional,Asset and operations manager for port infrastructure and flows.,""Terminal planning, berths, yards""";;
"Port Operations & Terminals,Terminal operator,Terminal operator,""Company operating cargo/cruise/ro-ro terminals, equipment, and labour deployment."",""Stevedores";" CT, MHC operators""";
"Maritime & Passenger Shipping,Shipping line / Shipowner,Shipping line / Shipowner,""Ocean carriers deciding calls, rotations, fleet and fuels that set local externalities."",""Deep-sea, short-sea, feeder""";;
"Maritime & Passenger Shipping,Cruise & ferry operator,Cruise & ferry operator,""Passenger shipping and terminal management, including turnarounds and city access logistics."",""Cruise lines, ferry firms""";;
Maritime & Passenger Shipping,Inland waterways operator,Inland waterways operator,Barge and river shipping firms connecting seaport and hinterland.,IWT companies;;
"Inland Logistics & Carriers,Logistics & forwarder,Logistics & forwarder,""Freight forwarders, 3PL/4PL, customs brokers, consolidators orchestrating multimodal chains."",Spedition firms";;
Inland Logistics & Carriers,Rail / road carrier,Rail / road carrier,Rail undertakings and trucking companies providing landside access.,Intermodal operators;;
"Nautical Control & Border,Pilotage / towage / mooring,Pilotage / towage / mooring,Nautical service providers enabling safe port calls.,""Pilots, tugs, linesmen""";;
Port Operations & Terminals,Port worker,Port worker,Frontline dock/terminal workforce executing cargo and ship operations.,Alias: keep “Port worker”; maps to Port professional in analysis;
"Energy Systems & Utilities,Energy & utilities provider,Energy & utilities provider,""Grid, OPS/shore power, fuels (H₂, LNG, methanol), heat/cold networks, water and waste utilities in port-city areas."",""DSO/TSO, bunkering""";;
"Technology & Engineering,Engineer / technologist,Engineer / technologist,""Designs and deploys technologies and systems (H₂, OPS, storage, automation, sensors) across port-city sites."",""EPC, OEM, digital twins""";;
"Compliance, Safety & Emergency,HSE & environmental officer,HSE & environmental officer,""Health, safety, environment compliance and monitoring for operators or authorities."",Noise/air/water teams";;
"Governance & Regulation,Policy maker / regulator,Policy maker / regulator,""National or regional regulation and permitting for transport, energy, environment, labour, heritage."",""Ministries, agencies""";;
"Governance & Regulation,Municipal officer,Municipal officer,""City administration staff implementing plans, permits, services, and local regulations."",""Departments, city companies""";;
"Planning, Heritage & Urban Management,Planner / urban designer,Planner / urban designer,""Spatial planning, design, and landscape integration of port-city interfaces and corridors."",""Architects, landscape architects""";;
"Planning, Heritage & Urban Management,Heritage & culture officer,Heritage & culture officer,Public heritage bodies managing maritime/industrial heritage in redevelopment and interpretation.,""Heritage councils, UNESCO""";;
"Nautical Control & Border,""Customs, border & sanitary control"",""Customs, border & sanitary control"",""State border, customs, veterinary/phytosanitary, and security screening at ports."",""Customs, border guard, SPS""";;
"Compliance, Safety & Emergency,Emergency services & civil protection,Emergency services & civil protection,""Fire, medical, rescue and disaster management for port-city incidents and drills."",HAZMAT units";;
"Business, Finance & Associations,Business owner (SME),Business owner (SME),Local enterprise representative affected by or partnering with port activities.,""Retail, services, light industry""";;
"Business, Finance & Associations,Investor / developer,Investor / developer,""Real-estate and infrastructure financiers and developers, incl. waterfront and logistics parks."",""PPPs, funds""";;
Business, Finance & Associations,Chamber / business association,Chamber / business association,Collective voice of firms;" convenes dialogues on competitiveness and liveability.,""Chambers, clusters""";
"Civil Society & Community,Environmental NGO,Environmental NGO,""Civil-society environmental advocates engaging on air, water, noise, biodiversity, climate."",Keep label “Environmental NGO”";;
"Civil Society & Community,NGO / activist,NGO / activist,""Public-interest and social-justice advocacy, including more-than-human framings."",""Community orgs, campaigners""";;
Residents & Visitors,Local resident (canonical),Local resident (canonical),Territorial stakeholder experiencing impacts and benefits of port-city decisions.,Alias: keep “Resident” for dropdown equivalence;;
Civil Society & Community,Neighbourhood association / community leader,Neighbourhood association / community leader,Organised representation of residents at district scale; co-design and mediation partner.,Housing councils;
Civil Society & Community,Seafarers & maritime families,Seafarers & maritime families,Itinerant labour community using city services; distinct welfare and mobility needs.,Welfare orgs;
"Civil Society & Community,Fisheries & aquaculture,Fisheries & aquaculture,""Small-scale and industrial fishers, fish markets, processors in port-city waters."",Producer orgs";;
"Business, Finance & Associations,Tourism & events organiser,Tourism & events organiser,""Institutions curating visitor flows, place branding, and event-led activation."",""DMOs, venues""";;
Knowledge, Culture & Media,Researcher / academic,Researcher / academic,University or institute scholar producing evidence and methods for co-research.,Alias: keep “Researcher/Academic”;;
"Knowledge, Culture & Media,Student,Student,""Learner role engaged in fieldwork, internships, and co-creation (distinct from staff researcher)."",Keep “Student”";;
"Knowledge, Culture & Media,School & educator,School & educator,Primary/secondary and vocational educators engaging cohorts in port-city literacy.,""Maritime colleges, schools""";;
"Knowledge, Culture & Media,Artist / curator,Artist / curator,""Shapes the cultural imagination of port-cityness";" mediates, critiques, and stages performances."",""Festivals, galleries""";
Knowledge, Culture & Media,Journalist / media,Journalist / media,Makes conflicts and decisions public;" frames debate through reporting and commentary.,""Press, broadcasters""";
"Civil Society & Community,Health & social services,Health & social services,""Public health, social care, inclusion and labour-market support in port districts."",""Clinics, social workers""";;
"Civil Society & Community,Accessibility & inclusion advocate,Accessibility & inclusion advocate,""Disability, ageing, youth, gender, and mobility-justice representation in design and operations."",""DPOs, youth councils""";;
"Civil Society & Community,Religious / faith leader,Religious / faith leader,""Community anchor organisations relevant to care, rituals, and crisis response."",""Parishes, mosques, etc.""";;
Residents & Visitors,Tourist / visitor (canonical),Tourist / visitor (canonical),Temporary user testing imageability and accessibility; contributes to economic and sensory data.,Alias: keep “Visitor/Tourist”;
"Data & Digital,Data & digital provider,Data & digital provider,""Platforms for sensing, modelling, AI/analytics, citizen science, data stewardship."",""ITS, twin vendors""";;
Other,Other,Other,Write-in or unspecified stakeholder.,Keep “Other”;;
